detector,experiment_id,node_id,injection_type,expected_metric,duration_seconds,detected,detection_delay_seconds,recovered,recovery_delay_seconds,peak_metric_value,first_fire_score,first_fire_metric,first_fire_samples_in_window,first_fire_detail
fixed_threshold,jp-lisahost-20260421T045458Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,57,true,27,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260421T062448Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,67,true,37,100.00,100.0000,cpu_percent,3,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260421T153933Z-cpu,jp-lisahost,cpu_stress,cpu_percent,90,true,67,true,7,100.00,100.0000,cpu_percent,3,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T072230Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,815,8.91,0.0000,,0,
fixed_threshold,jp-lisahost-20260422T072646Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,559,100.00,0.0000,,0,
fixed_threshold,jp-lisahost-20260422T073103Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,true,302,true,302,4.00,100.0000,cpu_percent,11,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T073520Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,45,true,15,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T074007Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,58,true,28,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T074502Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,63,true,33,100.00,100.0000,cpu_percent,3,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T074952Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,43,true,13,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T075618Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,47,true,17,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T080241Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,54,true,24,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T080907Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,58,true,28,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T081809Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,56,true,26,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
fixed_threshold,jp-lisahost-20260422T082712Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,53,true,23,100.00,100.0000,cpu_percent,2,CPU fixed threshold 80 (value 100.00)
plain_zscore,jp-lisahost-20260421T045458Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,57,true,27,100.00,100.0000,cpu_percent,2,CPU z-score ≥ 3.0 (value 100.00)
plain_zscore,jp-lisahost-20260421T062448Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,67,true,37,100.00,100.0000,cpu_percent,3,CPU z-score ≥ 3.0 (value 100.00)
plain_zscore,jp-lisahost-20260421T153933Z-cpu,jp-lisahost,cpu_stress,cpu_percent,90,true,37,true,37,100.00,100.0000,cpu_percent,2,CPU z-score ≥ 3.0 (value 100.00)
plain_zscore,jp-lisahost-20260422T072230Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,815,8.91,0.0000,,0,
plain_zscore,jp-lisahost-20260422T072646Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,559,100.00,0.0000,,0,
plain_zscore,jp-lisahost-20260422T073103Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,true,302,true,302,4.00,100.0000,cpu_percent,11,CPU z-score ≥ 3.0 (value 100.00)
plain_zscore,jp-lisahost-20260422T073520Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,45,true,15,100.00,100.0000,cpu_percent,2,CPU z-score ≥ 3.0 (value 100.00)
